EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000352144241333,0,1,INITIAL_BUFFERING,Writing,45226
0.00124096870422,0,1,PLAY,InitialBuffering-Play,0
0.00202512741089,0,0,PLAY,StillPlaying,45226
4.00327396393,4,0,BUFFERING,Play-Buffering,0
16.0677289963,4,1,BUFFERING,Writing,45226
16.0687060356,4,1,PLAY,Buffering-Play,0
16.0695381165,4,0,PLAY,StillPlaying,45226
20.0702171326,8,0,BUFFERING,Play-Buffering,0
30.7586200237,8,1,BUFFERING,Writing,45226
30.7593171597,8,1,PLAY,Buffering-Play,0
30.7604510784,8,0,PLAY,StillPlaying,45226
34.7608089447,12,0,BUFFERING,Play-Buffering,0
47.6714141369,12,1,BUFFERING,Writing,45226
47.6728639603,12,1,PLAY,Buffering-Play,0
47.67374897,12,0,PLAY,StillPlaying,45226
51.6742379665,16,0,BUFFERING,Play-Buffering,0
67.679942131,16,1,BUFFERING,Writing,45226
67.6810081005,16,1,PLAY,Buffering-Play,0
67.6820960045,16,0,PLAY,StillPlaying,45226
69.4710559845,17,1,PLAY,Writing,45226
71.2354810238,19,2,PLAY,Writing,45226
71.6825480461,20,1,PLAY,StillPlaying,45226
72.9585990906,21,2,PLAY,Writing,45226
74.7547130585,23,3,PLAY,Writing,45226
75.6826071739,24,2,PLAY,StillPlaying,45226
76.3271660805,24,3,PLAY,Writing,45226
78.0939390659,26,4,PLAY,Writing,45226
79.6751949787,27,5,PLAY,Writing,45226
79.6824791431,28,4,PLAY,StillPlaying,45226
81.4146461487,29,5,PLAY,Writing,45226
83.1462841034,31,6,PLAY,Writing,45226
83.6825921535,32,5,PLAY,StillPlaying,45226
84.8507139683,33,6,PLAY,Writing,45226
86.5737991333,34,7,PLAY,Writing,45226
87.6825060844,36,6,PLAY,StillPlaying,45226
88.2895359993,36,7,PLAY,Writing,45226
89.8158550262,38,8,PLAY,Writing,45226
91.3721261024,39,9,PLAY,Writing,88783
91.682500124,40,8,PLAY,StillPlaying,45226
92.891726017,41,9,PLAY,Writing,88783
94.8801569939,43,10,PLAY,Writing,88783
95.6824841499,44,9,PLAY,StillPlaying,45226
96.7200789452,45,10,PLAY,Writing,128503
98.4913799763,46,11,PLAY,Writing,128503
99.6824791431,48,10,PLAY,StillPlaying,45226
100.285753012,48,11,PLAY,Writing,128503
102.041226149,50,12,PLAY,Writing,128503
103.682517052,52,11,PLAY,StillPlaying,45226
103.8346591,52,12,PLAY,Writing,128503
105.646680117,53,13,PLAY,Writing,128503
107.32835412,55,14,PLAY,Writing,177437
107.682494164,56,13,PLAY,StillPlaying,45226
109.228611946,57,14,PLAY,Writing,177437
110.720644951,59,15,PLAY,Writing,177437
111.682654142,60,14,PLAY,StillPlaying,45226
115.68257308,64,13,PLAY,StillPlaying,45226
119.682667017,68,12,PLAY,StillPlaying,45226
123.682739019,72,11,PLAY,StillPlaying,88783
127.682434082,76,10,PLAY,StillPlaying,88783
131.682408094,80,9,PLAY,StillPlaying,88783
135.682506084,84,8,PLAY,StillPlaying,128503
139.682515144,88,7,PLAY,StillPlaying,128503
143.682465076,92,6,PLAY,StillPlaying,128503
147.68246913,96,5,PLAY,StillPlaying,128503
151.682520151,100,4,PLAY,StillPlaying,128503
155.683009148,104,3,PLAY,StillPlaying,128503
159.682675123,108,2,PLAY,StillPlaying,177437
163.68267417,112,1,PLAY,StillPlaying,177437
167.682898045,116,0,PLAY,StillPlaying,177437
171.682722092,120,0,STOP,Stopped,0
