EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000104904174805,0,1,INITIAL_BUFFERING,Writing,45226
0.000478982925415,0,1,PLAY,InitialBuffering-Play,0
0.00092887878418,0,0,PLAY,StillPlaying,45226
2.0374288559,2,1,PLAY,Writing,45226
3.86368989944,3,2,PLAY,Writing,45226
4.00206494331,4,1,PLAY,StillPlaying,45226
5.42780685425,5,2,PLAY,Writing,45226
7.19190192223,7,3,PLAY,Writing,45226
8.00198698044,8,2,PLAY,StillPlaying,45226
8.93835687637,8,3,PLAY,Writing,45226
10.7953898907,10,4,PLAY,Writing,45226
12.0022759438,12,3,PLAY,StillPlaying,45226
12.6347019672,12,4,PLAY,Writing,45226
14.472730875,14,5,PLAY,Writing,45226
16.0022509098,16,4,PLAY,StillPlaying,45226
16.3025579453,16,5,PLAY,Writing,45226
18.1516458988,18,6,PLAY,Writing,45226
20.0026228428,20,5,PLAY,StillPlaying,45226
20.0031838417,20,6,PLAY,Writing,45226
22.0480070114,22,7,PLAY,Writing,45226
22.8714449406,22,8,PLAY,Writing,45226
24.0020828247,24,7,PLAY,StillPlaying,45226
24.5818858147,24,8,PLAY,Writing,88783
26.5539629459,26,9,PLAY,Writing,88783
28.0022318363,28,8,PLAY,StillPlaying,45226
28.5111849308,28,9,PLAY,Writing,88783
30.5143389702,30,10,PLAY,Writing,88783
32.0022289753,32,9,PLAY,StillPlaying,45226
32.479683876,32,10,PLAY,Writing,128503
34.9030790329,34,11,PLAY,Writing,128503
36.0020549297,36,10,PLAY,StillPlaying,45226
37.0254149437,37,11,PLAY,Writing,128503
39.8858430386,39,12,PLAY,Writing,128503
40.0020580292,40,11,PLAY,StillPlaying,45226
41.8684399128,41,12,PLAY,Writing,128503
44.002038002,44,11,PLAY,StillPlaying,45226
44.2129878998,44,12,PLAY,Writing,128503
46.159927845,46,13,PLAY,Writing,128503
48.0021929741,48,12,PLAY,StillPlaying,45226
49.0257589817,49,13,PLAY,Writing,177437
52.0021259785,52,12,PLAY,StillPlaying,45226
52.3089950085,52,13,PLAY,Writing,177437
55.3033549786,55,14,PLAY,Writing,177437
56.0021870136,56,13,PLAY,StillPlaying,88783
57.5536990166,57,14,PLAY,Writing,177437
60.0021078587,60,13,PLAY,StillPlaying,88783
60.1908118725,60,14,PLAY,Writing,177437
64.0019748211,64,13,PLAY,StillPlaying,88783
68.001914978,68,12,PLAY,StillPlaying,88783
72.0019049644,72,11,PLAY,StillPlaying,128503
76.001914978,76,10,PLAY,StillPlaying,128503
80.0022189617,80,9,PLAY,StillPlaying,128503
84.0021848679,84,8,PLAY,StillPlaying,128503
88.0022280216,88,7,PLAY,StillPlaying,128503
92.0019609928,92,6,PLAY,StillPlaying,128503
96.0022478104,96,5,PLAY,StillPlaying,128503
100.00197196,100,4,PLAY,StillPlaying,177437
104.001982927,104,3,PLAY,StillPlaying,177437
108.001942873,108,2,PLAY,StillPlaying,177437
112.00208497,112,1,PLAY,StillPlaying,177437
116.001933813,116,0,PLAY,StillPlaying,177437
120.002120018,120,0,STOP,Stopped,0
